,date,state,fips,cases,deaths,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
0,2021-01-12,Alabama,1,407848,5573,78134.0,377025.0,70861.0,0.15,1.59,7270.0,1.45,7.69,,,,0.207,,
1,2021-01-12,Alaska,2,50243,216,35838.0,141600.0,22486.0,0.74,4.9,5400.0,3.07,19.36,,,,0.253,,
2,2021-01-12,Arizona,4,638739,10537,141355.0,563025.0,95141.0,0.11,1.94,8343.0,1.31,7.74,,,,0.251,,
3,2021-01-12,Arkansas,5,259553,4121,40879.0,274400.0,39357.0,0.0,1.35,8.0,1.3,9.09,,,,0.149,,
4,2021-01-12,California,6,2816366,31105,816301.0,3286050.0,703540.0,0.25,2.07,100089.0,1.78,8.32,,,,0.248,,
5,2021-01-12,Colorado,8,366385,5326,224428.0,516750.0,187838.0,0.63,3.9,36425.0,3.26,8.97,,,,0.434,,
6,2021-01-12,Connecticut,9,217047,6449,151395.0,250775.0,56350.0,0.12,4.25,4174.0,1.58,7.03,,,,0.604,,
7,2021-01-12,Delaware,10,66446,991,26410.0,88325.0,15911.0,0.29,2.71,2784.0,1.63,9.07,,,,0.299,,
8,2021-01-12,Florida,12,1503474,23226,633440.0,1676300.0,586741.0,0.19,2.95,41725.0,2.73,7.8,,,,0.378,,
9,2021-01-12,Georgia,13,749417,11297,170571.0,960975.0,85110.0,0.07,1.61,7746.0,0.8,9.05,,,,0.177,,
10,2021-01-12,Hawaii,15,23570,306,33483.0,141750.0,,,2.36,,,10.01,,,,0.236,,
11,2021-01-12,Idaho,16,151474,1563,35845.0,146750.0,31504.0,0.24,2.01,4308.0,1.76,8.21,,,,0.244,,
12,2021-01-12,Illinois,17,1043041,19497,347005.0,903100.0,284035.0,0.5,2.74,62757.0,2.24,7.13,,,,0.384,,
13,2021-01-12,Indiana,18,573505,9104,191844.0,540475.0,114781.0,0.35,2.85,23546.0,1.7,8.03,,,,0.355,,
14,2021-01-12,Iowa,19,299254,4222,98691.0,208875.0,91969.0,0.19,3.13,6099.0,2.91,6.62,,,,0.472,,
15,2021-01-12,Kansas,20,250646,3255,78268.0,193175.0,53988.0,0.33,2.69,9577.0,1.85,6.63,,,,0.405,,
16,2021-01-12,Kentucky,21,312316,3284,132114.0,329450.0,102517.0,0.14,2.96,6335.0,2.29,7.37,,,,0.401,,
17,2021-01-12,Louisiana,22,352939,7971,142771.0,368300.0,117022.0,0.39,3.07,18314.0,2.52,7.92,,,,0.388,,
18,2021-01-12,Maine,23,30326,449,54945.0,132975.0,38045.0,0.34,4.09,4518.0,2.83,9.89,,,,0.413,,
19,2021-01-12,Maryland,24,312534,6367,146231.0,552800.0,136576.0,0.11,2.42,6663.0,2.26,9.14,,,,0.265,,
20,2021-01-12,Massachusetts,25,442529,13273,204082.0,476025.0,184984.0,0.28,2.96,19073.0,2.68,6.91,,,,0.429,,
21,2021-01-12,Michigan,26,567901,14286,227685.0,768150.0,207786.0,0.19,2.28,19472.0,2.08,7.69,,,,0.296,,
22,2021-01-12,Minnesota,27,438935,5792,162240.0,453200.0,152280.0,0.17,2.88,9798.0,2.7,8.04,,,,0.358,,
23,2021-01-12,Mississippi,28,241957,5284,54544.0,212050.0,45733.0,0.16,1.83,4832.0,1.54,7.12,,,,0.257,,
24,2021-01-12,Missouri,29,462085,6495,161784.0,485175.0,107939.0,0.36,2.64,22155.0,1.76,7.91,,,,0.333,,
25,2021-01-12,Montana,30,87179,1067,42083.0,78350.0,30887.0,0.55,3.94,5843.0,2.89,7.33,,,,0.537,,
26,2021-01-12,Nebraska,31,178690,1859,74439.0,177375.0,65924.0,0.44,3.85,8459.0,3.41,9.17,,,,0.42,,
27,2021-01-12,Nevada,32,253100,3551,61653.0,207150.0,31320.0,0.28,2.0,8761.0,1.02,6.73,,,,0.298,,
28,2021-01-12,New Hampshire,33,53148,878,50613.0,122350.0,11615.0,0.0,3.72,5.0,0.85,9.0,,,,0.414,,
29,2021-01-12,New Jersey,34,594751,20039,221045.0,654900.0,206737.0,0.16,2.49,14306.0,2.33,7.37,,,,0.338,,
30,2021-01-12,New Mexico,35,157974,2796,78235.0,177075.0,43344.0,0.54,3.73,11335.0,2.07,8.44,,,,0.442,,
31,2021-01-12,New York,36,1164819,39588,579532.0,1622100.0,543014.0,0.19,2.98,36422.0,2.79,8.34,,,,0.357,,
32,2021-01-12,North Carolina,37,636681,7687,211610.0,836450.0,189213.0,0.18,2.02,19293.0,1.8,7.98,,,,0.253,,
33,2021-01-12,North Dakota,38,94976,1363,39479.0,53525.0,33648.0,0.76,5.18,5815.0,4.42,7.02,,,,0.738,,
34,2021-01-12,Ohio,39,792938,9802,311890.0,866050.0,311867.0,,2.67,,2.67,7.41,,,,0.36,,
35,2021-01-12,Oklahoma,40,337457,2804,157843.0,381375.0,109045.0,0.44,3.99,17463.0,2.76,9.64,,,,0.414,,
36,2021-01-12,Oregon,41,127791,1669,104610.0,321425.0,99594.0,0.11,2.48,4813.0,2.36,7.62,,,,0.325,,
37,2021-01-12,Pennsylvania,42,739212,18091,341948.0,974725.0,266288.0,0.08,2.67,10591.0,2.08,7.61,,,,0.351,,
38,2021-01-12,Rhode Island,44,101393,1970,39568.0,80225.0,35385.0,0.39,3.74,4141.0,3.34,7.57,,,,0.493,,
39,2021-01-12,South Carolina,45,359357,5860,81075.0,315950.0,77042.0,0.08,1.57,3954.0,1.5,6.14,,,,0.257,,
40,2021-01-12,South Dakota,46,103743,1585,48698.0,83500.0,41322.0,0.83,5.5,7374.0,4.67,9.44,,,,0.583,,
41,2021-01-12,Tennessee,47,649227,7941,251257.0,485800.0,143735.0,0.26,3.68,17914.0,2.1,7.11,,,,0.517,,
42,2021-01-12,Texas,48,2017036,31017,911461.0,1949125.0,809148.0,0.35,3.14,101317.0,2.79,6.72,,,,0.468,,
43,2021-01-12,Utah,49,309629,1422,95225.0,256275.0,90613.0,0.14,2.97,4608.0,2.83,7.99,,,,0.372,,
44,2021-01-12,Vermont,50,9247,158,25757.0,64925.0,,,4.13,,,10.4,,,,0.397,,
45,2021-01-12,Virginia,51,407947,5477,190607.0,797150.0,,,2.23,,,9.34,,,,0.239,,
46,2021-01-12,Washington,53,283363,3869,195567.0,567725.0,162105.0,0.23,2.57,17689.0,2.13,7.46,,,,0.344,,
47,2021-01-12,West Virginia,54,103203,1634,103330.0,160975.0,,,5.77,,,8.98,,,,0.642,,
48,2021-01-12,Wisconsin,55,555249,5635,137253.0,429500.0,125895.0,0.19,2.36,11343.0,2.16,7.38,,,,0.32,,
49,2021-01-12,Wyoming,56,48072,522,16467.0,47800.0,13577.0,0.37,2.85,2116.0,2.35,8.26,,,,0.344,,
50,2021-01-13,Alabama,1,410995,5760,84040.0,378975.0,74792.0,0.19,1.71,9245.0,1.53,7.73,5906.0,5906.0,1205.0,0.222,,
51,2021-01-13,Alaska,2,50526,217,38680.0,149475.0,24541.0,0.84,5.29,6166.0,3.35,20.43,2842.0,2842.0,3885.0,0.259,,
52,2021-01-13,Arizona,4,643683,10689,154745.0,569525.0,104387.0,0.17,2.13,12392.0,1.43,7.82,13390.0,13390.0,1840.0,0.272,,
53,2021-01-13,Arkansas,5,262020,4186,94854.0,297800.0,80458.0,0.43,3.14,12849.0,2.67,9.87,53975.0,53975.0,17886.0,0.319,,
54,2021-01-13,California,6,2858041,31653,891489.0,3435650.0,744545.0,0.34,2.26,133689.0,1.88,8.7,75188.0,75188.0,1903.0,0.259,,
55,2021-01-13,Colorado,8,368775,5354,239665.0,530800.0,198227.0,0.72,4.16,41271.0,3.44,9.22,15237.0,15237.0,2646.0,0.452,,
56,2021-01-13,Connecticut,9,220576,6536,161875.0,315025.0,58920.0,0.15,4.54,5268.0,1.65,8.84,10480.0,10480.0,2939.0,0.514,,
57,2021-01-13,Delaware,10,67173,994,28413.0,91250.0,16647.0,0.42,2.92,4050.0,1.71,9.37,2003.0,2003.0,2057.0,0.311,,
58,2021-01-13,Florida,12,1517464,23395,705398.0,1680200.0,647330.0,0.25,3.28,52969.0,3.01,7.82,71958.0,71958.0,3350.0,0.42,,
59,2021-01-13,Georgia,13,757993,11435,198756.0,1003975.0,86105.0,0.08,1.87,8937.0,0.81,9.46,28185.0,28185.0,2655.0,0.198,,
60,2021-01-13,Hawaii,15,23663,309,36605.0,154150.0,,,2.59,,,10.89,3122.0,3122.0,2205.0,0.237,,
61,2021-01-13,Idaho,16,152560,1576,38872.0,158125.0,33176.0,0.32,2.18,5653.0,1.86,8.85,3027.0,3027.0,1694.0,0.246,,
62,2021-01-13,Illinois,17,1048784,19619,365859.0,920225.0,291445.0,0.59,2.89,74186.0,2.3,7.26,18854.0,18854.0,1488.0,0.398,,
63,2021-01-13,Indiana,18,577153,9163,211334.0,579050.0,125763.0,0.48,3.14,32040.0,1.87,8.6,19490.0,19490.0,2895.0,0.365,,
64,2021-01-13,Iowa,19,301161,4232,,,,,,,,,,6701.0,2124.0,,,
65,2021-01-13,Kansas,20,255200,3355,85650.0,261175.0,58477.0,0.43,2.94,12470.0,2.01,8.96,7382.0,7382.0,2534.0,0.328,,
66,2021-01-13,Kentucky,21,316673,3324,142436.0,329450.0,111449.0,0.17,3.19,7725.0,2.49,7.37,10322.0,10322.0,2310.0,0.432,,
67,2021-01-13,Louisiana,22,355835,8022,156186.0,369475.0,127078.0,0.47,3.36,21634.0,2.73,7.95,13415.0,13415.0,2886.0,0.423,,
68,2021-01-13,Maine,23,31150,453,57248.0,136875.0,39157.0,0.39,4.26,5182.0,2.91,10.18,2303.0,2303.0,1713.0,0.418,,
69,2021-01-13,Maryland,24,315055,6404,178056.0,561500.0,162350.0,0.21,2.95,12706.0,2.69,9.29,31825.0,31825.0,5264.0,0.317,,
70,2021-01-13,Massachusetts,25,448447,13359,217443.0,656850.0,192619.0,0.36,3.15,24789.0,2.79,9.53,13361.0,13361.0,1938.0,0.331,,
71,2021-01-13,Michigan,26,571014,14325,291519.0,772150.0,259119.0,0.32,2.92,31937.0,2.59,7.73,63834.0,63834.0,6392.0,0.378,,
72,2021-01-13,Minnesota,27,440422,5842,165355.0,511200.0,154767.0,0.18,2.93,10426.0,2.74,9.06,3115.0,3115.0,552.0,0.323,,
73,2021-01-13,Mississippi,28,243899,5315,61289.0,218825.0,51588.0,0.19,2.06,5722.0,1.73,7.35,6745.0,6745.0,2266.0,0.28,,
74,2021-01-13,Missouri,29,464620,6538,161784.0,526425.0,107939.0,0.36,2.64,22155.0,1.76,8.58,0.0,0.0,0.0,0.307,,
75,2021-01-13,Montana,30,87759,1069,44063.0,89550.0,31886.0,0.64,4.12,6823.0,2.98,8.38,1980.0,1980.0,1853.0,0.492,,
76,2021-01-13,Nebraska,31,180160,1870,79699.0,199800.0,69113.0,0.54,4.12,10529.0,3.57,10.33,5260.0,5260.0,2719.0,0.399,,
77,2021-01-13,Nevada,32,254043,3596,61653.0,207150.0,31320.0,0.28,2.0,8761.0,1.02,6.73,0.0,0.0,0.0,0.298,,
78,2021-01-13,New Hampshire,33,54125,885,55218.0,124300.0,12722.0,0.0,4.06,9.0,0.94,9.14,4605.0,4605.0,3387.0,0.444,,
79,2021-01-13,New Jersey,34,602629,20166,,,,,,,,,,21188.0,2385.0,,,
80,2021-01-13,New Mexico,35,159119,2809,81855.0,199525.0,45873.0,0.59,3.9,12426.0,2.19,9.52,3620.0,3620.0,1726.0,0.41,,
81,2021-01-13,New York,36,1179523,39760,632473.0,1796850.0,587865.0,0.23,3.25,44512.0,3.02,9.24,52941.0,52941.0,2721.0,0.352,,
82,2021-01-13,North Carolina,37,642003,7796,266938.0,852000.0,228686.0,0.34,2.55,35148.0,2.18,8.12,55328.0,55328.0,5275.0,0.313,,
83,2021-01-13,North Dakota,38,95142,1364,40728.0,66725.0,34317.0,0.84,5.34,6395.0,4.5,8.76,1249.0,1249.0,1639.0,0.61,,
84,2021-01-13,Ohio,39,799639,9881,329318.0,957700.0,329295.0,,2.82,,2.82,8.19,17428.0,17428.0,1491.0,0.344,,
85,2021-01-13,Oklahoma,40,341364,2848,172403.0,396975.0,118786.0,0.56,4.36,22278.0,3.0,10.03,14560.0,14560.0,3680.0,0.434,,
86,2021-01-13,Oregon,41,129109,1716,115075.0,325325.0,107843.0,0.17,2.73,7014.0,2.56,7.71,10465.0,10465.0,2481.0,0.354,,
