,date,state,fips,cases,deaths,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
87,2021-01-13,Pennsylvania,42,747245,18458,379944.0,1017475.0,285938.0,0.14,2.97,18051.0,2.23,7.95,37996.0,37996.0,2968.0,0.373,,
88,2021-01-13,Rhode Island,44,102485,1987,42028.0,82175.0,36489.0,0.52,3.97,5490.0,3.44,7.76,2460.0,2460.0,2322.0,0.511,,
89,2021-01-13,South Carolina,45,365378,5911,99887.0,317450.0,87584.0,0.24,1.94,12213.0,1.7,6.17,18812.0,18812.0,3654.0,0.315,,
90,2021-01-13,South Dakota,46,104195,1604,50712.0,88375.0,42789.0,0.9,5.73,7921.0,4.84,9.99,2014.0,2014.0,2277.0,0.574,,
91,2021-01-13,Tennessee,47,653568,8072,264713.0,598000.0,150893.0,0.35,3.88,24026.0,2.21,8.76,13456.0,13456.0,1970.0,0.443,,
92,2021-01-13,Texas,48,2040144,31396,978042.0,1984225.0,861072.0,0.4,3.37,115965.0,2.97,6.84,66581.0,66581.0,2296.0,0.493,,
93,2021-01-13,Utah,49,314817,1449,104036.0,266025.0,98010.0,0.19,3.25,6021.0,3.06,8.3,8811.0,8811.0,2748.0,0.391,,
94,2021-01-13,Vermont,50,9368,158,29571.0,69800.0,,,4.74,,,11.19,3814.0,3814.0,6112.0,0.424,,
95,2021-01-13,Virginia,51,412545,5552,217836.0,845900.0,,,2.55,,,9.91,27229.0,27229.0,3190.0,0.258,,
96,2021-01-13,Washington,53,285690,3909,208238.0,572600.0,169650.0,0.3,2.73,22625.0,2.23,7.52,12671.0,12671.0,1664.0,0.364,,
97,2021-01-13,West Virginia,54,104392,1671,110709.0,160975.0,,,6.18,,,8.98,7379.0,7379.0,4117.0,0.688,,
98,2021-01-13,Wisconsin,55,558020,5679,137253.0,435900.0,125895.0,0.19,2.36,11343.0,2.16,7.49,0.0,0.0,0.0,0.315,,
99,2021-01-13,Wyoming,56,48289,522,17794.0,57800.0,14406.0,0.44,3.07,2559.0,2.49,9.99,1327.0,1327.0,2293.0,0.308,,
100,2021-01-14,Alabama,1,414583,5945,92300.0,435350.0,80480.0,,1.88,,1.64,8.88,8260.0,7083.0,1445.0,0.212,,
101,2021-01-14,Alaska,2,50861,219,42596.0,150450.0,35508.0,,5.82,,4.85,20.57,3916.0,3379.0,4619.0,0.283,,
102,2021-01-14,Arizona,4,653546,10876,173665.0,570625.0,157397.0,,2.39,,2.16,7.84,18920.0,16155.0,2219.0,0.304,,
103,2021-01-14,Arkansas,5,264511,4228,108316.0,297800.0,90339.0,,3.59,,2.99,9.87,13462.0,33718.0,11173.0,0.364,,
104,2021-01-14,California,6,2898756,32246,975293.0,3540175.0,801998.0,,2.47,,2.03,8.96,83804.0,79496.0,2012.0,0.275,,
105,2021-01-14,Colorado,8,371362,5385,254706.0,531775.0,209300.0,,4.42,,3.63,9.23,15041.0,15139.0,2629.0,0.479,,
106,2021-01-14,Connecticut,9,221544,6553,171897.0,328675.0,156366.0,,4.82,,4.39,9.22,10022.0,10251.0,2875.0,0.523,,
107,2021-01-14,Delaware,10,68065,995,31090.0,91250.0,25649.0,,3.19,,2.63,9.37,2677.0,2340.0,2403.0,0.341,,
108,2021-01-14,Florida,12,1531184,23612,774485.0,1970875.0,709002.0,,3.61,,3.3,9.18,69087.0,70522.0,3283.0,0.393,,
109,2021-01-14,Georgia,13,766917,11599,231305.0,1010900.0,204301.0,,2.18,,1.92,9.52,32549.0,30367.0,2860.0,0.229,,
110,2021-01-14,Hawaii,15,23827,315,,,,,,,,,,4149.0,2930.0,,,
111,2021-01-14,Idaho,16,153506,1593,42586.0,160075.0,35179.0,,2.38,,1.97,8.96,3714.0,3370.0,1886.0,0.266,,
112,2021-01-14,Illinois,17,1055550,19728,403666.0,958125.0,316876.0,,3.19,,2.5,7.56,37807.0,28330.0,2236.0,0.421,,
113,2021-01-14,Indiana,18,581534,9202,233488.0,630025.0,203889.0,,3.47,,3.03,9.36,22154.0,20822.0,3093.0,0.371,,
114,2021-01-14,Iowa,19,302559,4251,112093.0,268025.0,100805.0,,3.55,,3.2,8.5,,6701.0,2124.0,0.418,,
115,2021-01-14,Kansas,20,255393,3355,91565.0,263175.0,77590.0,,3.14,,2.66,9.03,5915.0,6648.0,2282.0,0.348,,
116,2021-01-14,Kentucky,21,320466,3373,155613.0,332375.0,145320.0,,3.48,,3.25,7.44,13177.0,11750.0,2630.0,0.468,,
117,2021-01-14,Louisiana,22,361148,8080,175811.0,370175.0,149064.0,,3.78,,3.21,7.96,19625.0,16520.0,3554.0,0.475,,
118,2021-01-14,Maine,23,31958,461,61129.0,136875.0,51631.0,,4.55,,3.84,10.18,3881.0,3092.0,2300.0,0.447,,
119,2021-01-14,Maryland,24,318002,6449,178056.0,564625.0,165318.0,,2.95,,2.73,9.34,0.0,15912.0,2632.0,0.315,,
120,2021-01-14,Massachusetts,25,454402,13433,233476.0,669225.0,204481.0,,3.39,,2.97,9.71,16033.0,14697.0,2132.0,0.349,,
121,2021-01-14,Michigan,26,574675,14500,327235.0,773650.0,286349.0,,3.28,,2.87,7.75,35716.0,49775.0,4984.0,0.423,,
122,2021-01-14,Minnesota,27,442003,5885,179684.0,516800.0,161507.0,,3.19,,2.86,9.16,14329.0,8722.0,1547.0,0.348,,
123,2021-01-14,Mississippi,28,245847,5356,71848.0,219800.0,64654.0,,2.41,,2.17,7.39,10559.0,8652.0,2907.0,0.327,,
124,2021-01-14,Missouri,29,467633,6590,175314.0,528300.0,145521.0,,2.86,,2.37,8.61,13530.0,6765.0,1102.0,0.332,,
125,2021-01-14,Montana,30,88190,1079,46620.0,98500.0,39103.0,,4.36,,3.66,9.22,2557.0,2268.0,2122.0,0.473,,
126,2021-01-14,Nebraska,31,181091,1885,84920.0,199800.0,72079.0,,4.39,,3.73,10.33,5221.0,5240.0,2709.0,0.425,,
127,2021-01-14,Nevada,32,256463,3664,76844.0,210075.0,62370.0,,2.49,,2.02,6.82,15191.0,7596.0,2466.0,0.366,,
128,2021-01-14,New Hampshire,33,54778,897,58711.0,127225.0,53780.0,,4.32,,3.96,9.36,3493.0,4049.0,2978.0,0.461,,
129,2021-01-14,New Jersey,34,609721,20253,263422.0,658800.0,235152.0,,2.97,,2.65,7.42,,21188.0,2385.0,0.4,,
130,2021-01-14,New Mexico,35,160543,2838,89415.0,204750.0,73428.0,,4.26,,3.5,9.76,7560.0,5590.0,2666.0,0.437,,
131,2021-01-14,New York,36,1193710,39997,688576.0,1872625.0,617596.0,,3.54,,3.17,9.63,56103.0,54522.0,2803.0,0.368,,
132,2021-01-14,North Carolina,37,650815,7888,268212.0,969700.0,233038.0,,2.56,,2.22,9.25,1274.0,28301.0,2698.0,0.277,,
133,2021-01-14,North Dakota,38,95385,1372,42774.0,68675.0,35293.0,,5.61,,4.63,9.01,2046.0,1648.0,2163.0,0.623,,
134,2021-01-14,Ohio,39,807293,9990,348424.0,967450.0,338961.0,,2.98,,2.9,8.28,19106.0,18267.0,1563.0,0.36,,
135,2021-01-14,Oklahoma,40,344506,2882,187266.0,399900.0,160035.0,,4.73,,4.04,10.11,14863.0,14712.0,3718.0,0.468,,
136,2021-01-14,Oregon,41,130246,1737,129796.0,335075.0,119980.0,,3.08,,2.84,7.94,14721.0,12593.0,2986.0,0.387,,
137,2021-01-14,Pennsylvania,42,754441,18752,410414.0,1065300.0,353821.0,,3.21,,2.76,8.32,30470.0,34233.0,2674.0,0.385,,
138,2021-01-14,Rhode Island,44,103386,1996,44871.0,84125.0,38000.0,,4.24,,3.59,7.94,2843.0,2652.0,2503.0,0.533,,
139,2021-01-14,South Carolina,45,371180,5934,115855.0,346150.0,96231.0,,2.25,,1.87,6.72,15968.0,17390.0,3378.0,0.335,,
140,2021-01-14,South Dakota,46,104512,1614,54284.0,88375.0,44721.0,,6.14,,5.06,9.99,3572.0,2793.0,3157.0,0.614,,
141,2021-01-14,Tennessee,47,658431,8155,264713.0,656550.0,238943.0,,3.88,,3.5,9.61,0.0,6728.0,985.0,0.403,,
142,2021-01-14,Texas,48,2070044,31819,1043624.0,2105600.0,917387.0,,3.6,,3.16,7.26,65582.0,66082.0,2279.0,0.496,,
143,2021-01-14,Utah,49,317559,1461,115384.0,267975.0,103833.0,,3.6,,3.24,8.36,11348.0,10080.0,3144.0,0.431,,
144,2021-01-14,Vermont,50,9573,162,29571.0,69800.0,26603.0,,4.74,,4.26,11.19,0.0,1907.0,3056.0,0.424,,
145,2021-01-14,Virginia,51,417839,5626,217836.0,852725.0,192918.0,,2.55,,2.26,9.99,0.0,13614.0,1595.0,0.255,,
146,2021-01-14,Washington,53,288127,3949,225238.0,655575.0,187450.0,,2.96,,2.46,8.61,17000.0,14836.0,1948.0,0.344,,
147,2021-01-14,West Virginia,54,105219,1702,118660.0,160975.0,99061.0,,6.62,,5.53,8.98,7951.0,7665.0,4277.0,0.737,,
148,2021-01-14,Wisconsin,55,561160,5729,149955.0,437900.0,135841.0,,2.58,,2.33,7.52,12702.0,6351.0,1091.0,0.342,,
149,2021-01-14,Wyoming,56,48701,522,19776.0,58775.0,17310.0,,3.42,,2.99,10.16,1982.0,1654.0,2858.0,0.336,,
150,2021-01-15,Alabama,1,417528,6030,100567.0,444650.0,86956.0,0.28,2.05,13488.0,1.77,9.07,8267.0,7478.0,1525.0,0.226,,
151,2021-01-15,Alaska,2,51163,220,49039.0,150450.0,39546.0,1.29,6.7,9406.0,5.41,20.57,6443.0,4400.0,6015.0,0.326,,
152,2021-01-15,Arizona,4,662597,11060,197086.0,571725.0,176213.0,0.29,2.71,20837.0,2.42,7.85,23421.0,18577.0,2552.0,0.345,,
153,2021-01-15,Arkansas,5,267635,4263,118338.0,297800.0,97829.0,0.62,3.92,18781.0,3.24,9.87,10022.0,25820.0,8556.0,0.397,,
154,2021-01-15,California,6,2937860,32947,1072959.0,3548575.0,865387.0,0.52,2.72,204374.0,2.19,8.98,97666.0,85553.0,2165.0,0.302,,
155,2021-01-15,Colorado,8,373647,5417,272233.0,531775.0,223761.0,0.82,4.73,47021.0,3.89,9.23,17527.0,15935.0,2767.0,0.512,,
156,2021-01-15,Connecticut,9,223422,6594,185866.0,328775.0,166722.0,0.48,5.21,17162.0,4.68,9.22,13969.0,11490.0,3223.0,0.565,,
157,2021-01-15,Delaware,10,68727,1002,31090.0,91250.0,25649.0,0.55,3.19,5354.0,2.63,9.37,0.0,1560.0,1602.0,0.341,,
158,2021-01-15,Florida,12,1548059,23798,853081.0,2069175.0,776430.0,0.35,3.97,74776.0,3.62,9.63,78596.0,73214.0,3409.0,0.412,,
159,2021-01-15,Georgia,13,776485,11757,231305.0,1011200.0,204301.0,0.21,2.18,22324.0,1.92,9.52,0.0,20245.0,1907.0,0.229,,
160,2021-01-15,Hawaii,15,24032,315,46958.0,154150.0,39690.0,0.51,3.32,7268.0,2.8,10.89,,4492.0,3173.0,0.305,,
161,2021-01-15,Idaho,16,154785,1606,46636.0,160075.0,37646.0,0.49,2.61,8843.0,2.11,8.96,4050.0,3597.0,2013.0,0.291,,
162,2021-01-15,Illinois,17,1062121,19876,437765.0,1011225.0,341518.0,0.72,3.45,91248.0,2.7,7.98,34099.0,30253.0,2387.0,0.433,,
163,2021-01-15,Indiana,18,586206,9246,260310.0,642425.0,222599.0,0.56,3.87,37683.0,3.31,9.54,26822.0,22822.0,3390.0,0.405,,
164,2021-01-15,Iowa,19,303927,4257,120983.0,269000.0,108056.0,0.34,3.83,10742.0,3.42,8.53,8890.0,7431.0,2355.0,0.45,,
165,2021-01-15,Kansas,20,259196,3514,97779.0,263175.0,83293.0,0.46,3.36,13496.0,2.86,9.03,6214.0,6504.0,2233.0,0.372,,
166,2021-01-15,Kentucky,21,324505,3395,174748.0,337450.0,162733.0,0.24,3.91,10672.0,3.64,7.55,19135.0,14211.0,3181.0,0.518,,
167,2021-01-15,Louisiana,22,364853,8080,197967.0,370175.0,167193.0,0.65,4.26,30416.0,3.6,7.96,22156.0,18399.0,3958.0,0.535,,
168,2021-01-15,Maine,23,32781,477,61129.0,136875.0,51631.0,0.62,4.55,8274.0,3.84,10.18,0.0,2061.0,1533.0,0.447,,
169,2021-01-15,Maryland,24,320923,6494,194705.0,565125.0,178831.0,0.26,3.22,15830.0,2.96,9.35,16649.0,16158.0,2673.0,0.345,,
170,2021-01-15,Massachusetts,25,459927,13509,257175.0,669325.0,222109.0,0.51,3.73,34885.0,3.22,9.71,23699.0,17698.0,2568.0,0.384,,
171,2021-01-15,Michigan,26,577657,14539,364182.0,773750.0,312415.0,0.49,3.65,48536.0,3.13,7.75,36947.0,45499.0,4556.0,0.471,,
172,2021-01-15,Minnesota,27,443630,5918,198253.0,519600.0,170273.0,0.49,3.52,27799.0,3.02,9.21,18569.0,12004.0,2129.0,0.382,,
173,2021-01-15,Mississippi,28,248189,5411,84328.0,233550.0,75885.0,0.28,2.83,8396.0,2.55,7.85,12480.0,9928.0,3336.0,0.361,,
174,2021-01-15,Missouri,29,470284,6619,190447.0,528800.0,153664.0,0.6,3.1,36525.0,2.5,8.62,15133.0,9554.0,1557.0,0.36,,
175,2021-01-15,Montana,30,88725,1086,49364.0,98500.0,41160.0,0.77,4.62,8193.0,3.85,9.22,2744.0,2427.0,2271.0,0.501,,
176,2021-01-15,Nebraska,31,181895,1904,91195.0,211500.0,77734.0,0.67,4.71,13050.0,4.02,10.93,6275.0,5585.0,2887.0,0.431,,
177,2021-01-15,Nevada,32,258438,3704,83674.0,211750.0,67679.0,0.5,2.72,15308.0,2.2,6.87,6830.0,7340.0,2383.0,0.395,,
178,2021-01-15,New Hampshire,33,55500,908,62517.0,127225.0,56797.0,0.42,4.6,5700.0,4.18,9.36,3806.0,3968.0,2918.0,0.491,,
179,2021-01-15,New Jersey,34,616086,20320,317070.0,658800.0,278956.0,0.41,3.57,36741.0,3.14,7.42,53648.0,32008.0,3604.0,0.481,,
180,2021-01-15,New Mexico,35,161805,2876,99305.0,204750.0,80172.0,0.89,4.74,18711.0,3.82,9.76,9890.0,7023.0,3349.0,0.485,,
181,2021-01-15,New York,36,1213179,40203,757466.0,1884325.0,671311.0,0.38,3.89,73523.0,3.45,9.69,68890.0,59311.0,3049.0,0.402,,
182,2021-01-15,North Carolina,37,659707,7996,302824.0,999650.0,259859.0,0.41,2.89,42790.0,2.48,9.53,34612.0,30405.0,2899.0,0.303,,
183,2021-01-15,North Dakota,38,95621,1395,46410.0,68675.0,38506.0,0.99,6.09,7555.0,5.05,9.01,3636.0,2310.0,3031.0,0.676,,
184,2021-01-15,Ohio,39,814442,10057,375428.0,968250.0,361818.0,0.12,3.21,13552.0,3.1,8.28,27004.0,21179.0,1812.0,0.388,,
185,2021-01-15,Oklahoma,40,348044,2925,203410.0,424000.0,173162.0,0.73,5.14,28917.0,4.38,10.72,16144.0,15189.0,3839.0,0.48,,
186,2021-01-15,Oregon,41,131296,1763,146153.0,335075.0,133091.0,0.3,3.47,12795.0,3.16,7.94,16357.0,13848.0,3283.0,0.436,,
